series_id,year,period,month,cpi_base_2022
CUSR0000SA0,1982,M01,1,0.315729623
CUSR0000SA0,1982,M02,2,0.316733001
CUSR0000SA0,1982,M03,3,0.316733001
CUSR0000SA0,1982,M04,4,0.317736379
CUSR0000SA0,1982,M05,5,0.320746513
CUSR0000SA0,1982,M06,6,0.324425566
CUSR0000SA0,1982,M07,7,0.326097863
CUSR0000SA0,1982,M08,8,0.326766781
CUSR0000SA0,1982,M09,9,0.326766781
CUSR0000SA0,1982,M10,10,0.328104619
CUSR0000SA0,1982,M11,11,0.32777016
CUSR0000SA0,1982,M12,12,0.326766781
CUSR0000SA0,1983,M01,1,0.3274357
CUSR0000SA0,1983,M02,2,0.32777016
CUSR0000SA0,1983,M03,3,0.328104619
CUSR0000SA0,1983,M04,4,0.330445834
CUSR0000SA0,1983,M05,5,0.331783672
CUSR0000SA0,1983,M06,6,0.33245259
CUSR0000SA0,1983,M07,7,0.333790428
CUSR0000SA0,1983,M08,8,0.334793806
CUSR0000SA0,1983,M09,9,0.335797184
CUSR0000SA0,1983,M10,10,0.337135021
CUSR0000SA0,1983,M11,11,0.338138399
CUSR0000SA0,1983,M12,12,0.339141777
CUSR0000SA0,1984,M01,1,0.341482993
CUSR0000SA0,1984,M02,2,0.343155289
CUSR0000SA0,1984,M03,3,0.344158668
CUSR0000SA0,1984,M04,4,0.345496505
CUSR0000SA0,1984,M05,5,0.346165424
CUSR0000SA0,1984,M06,6,0.346834342
CUSR0000SA0,1984,M07,7,0.34817218
CUSR0000SA0,1984,M08,8,0.349175558
CUSR0000SA0,1984,M09,9,0.350178936
CUSR0000SA0,1984,M10,10,0.351516773
CUSR0000SA0,1984,M11,11,0.352185692
CUSR0000SA0,1984,M12,12,0.352854611
CUSR0000SA0,1985,M01,1,0.353523529
CUSR0000SA0,1985,M02,2,0.355530285
CUSR0000SA0,1985,M03,3,0.357202582
CUSR0000SA0,1985,M04,4,0.357871501
CUSR0000SA0,1985,M05,5,0.358540419
CUSR0000SA0,1985,M06,6,0.359543797
CUSR0000SA0,1985,M07,7,0.360212716
CUSR0000SA0,1985,M08,8,0.360881635
CUSR0000SA0,1985,M09,9,0.361550554
CUSR0000SA0,1985,M10,10,0.362888391
CUSR0000SA0,1985,M11,11,0.364560688
CUSR0000SA0,1985,M12,12,0.366232984
CUSR0000SA0,1986,M01,1,0.367570822
CUSR0000SA0,1986,M02,2,0.366901903
CUSR0000SA0,1986,M03,3,0.364895147
CUSR0000SA0,1986,M04,4,0.36355731
CUSR0000SA0,1986,M05,5,0.364560688
CUSR0000SA0,1986,M06,6,0.365898525
CUSR0000SA0,1986,M07,7,0.366232984
CUSR0000SA0,1986,M08,8,0.366567444
CUSR0000SA0,1986,M09,9,0.367905281
CUSR0000SA0,1986,M10,10,0.3685742
CUSR0000SA0,1986,M11,11,0.369243118
CUSR0000SA0,1986,M12,12,0.370580956
CUSR0000SA0,1987,M01,1,0.372587712
CUSR0000SA0,1987,M02,2,0.373925549
CUSR0000SA0,1987,M03,3,0.375263387
CUSR0000SA0,1987,M04,4,0.376935683
CUSR0000SA0,1987,M05,5,0.377939062
CUSR0000SA0,1987,M06,6,0.379611358
CUSR0000SA0,1987,M07,7,0.380614736
CUSR0000SA0,1987,M08,8,0.382287033
CUSR0000SA0,1987,M09,9,0.38362487
CUSR0000SA0,1987,M10,10,0.384628248
CUSR0000SA0,1987,M11,11,0.385966086
CUSR0000SA0,1987,M12,12,0.386635005
CUSR0000SA0,1988,M01,1,0.387972842
CUSR0000SA0,1988,M02,2,0.388641761
CUSR0000SA0,1988,M03,3,0.389645139
CUSR0000SA0,1988,M04,4,0.391986354
CUSR0000SA0,1988,M05,5,0.392989732
CUSR0000SA0,1988,M06,6,0.394662029
CUSR0000SA0,1988,M07,7,0.396334326
CUSR0000SA0,1988,M08,8,0.398006622
CUSR0000SA0,1988,M09,9,0.399678919
CUSR0000SA0,1988,M10,10,0.401016756
CUSR0000SA0,1988,M11,11,0.402354594
CUSR0000SA0,1988,M12,12,0.403692431
CUSR0000SA0,1989,M01,1,0.405364728
CUSR0000SA0,1989,M02,2,0.406702565
CUSR0000SA0,1989,M03,3,0.408709321
CUSR0000SA0,1989,M04,4,0.411719456
