DeliveryDate,HourEnding,DeliveryInterval,PeakerNetMargin
11/30/2010,01:00,1,0
11/30/2010,01:00,2,0
11/30/2010,01:00,3,0
11/30/2010,01:00,4,0
11/30/2010,02:00,1,0
11/30/2010,02:00,2,0
11/30/2010,02:00,3,0
11/30/2010,02:00,4,0
11/30/2010,03:00,1,0
11/30/2010,03:00,2,0
11/30/2010,03:00,3,0
11/30/2010,03:00,4,0
11/30/2010,04:00,1,0
11/30/2010,04:00,2,0
11/30/2010,04:00,3,0
11/30/2010,04:00,4,0
11/30/2010,05:00,1,0
11/30/2010,05:00,2,0
11/30/2010,05:00,3,0
11/30/2010,05:00,4,0
11/30/2010,06:00,1,0
11/30/2010,06:00,2,0
11/30/2010,06:00,3,0
11/30/2010,06:00,4,0
11/30/2010,07:00,1,0
11/30/2010,07:00,2,0
11/30/2010,07:00,3,0
11/30/2010,07:00,4,0
11/30/2010,08:00,1,0
11/30/2010,08:00,2,0
11/30/2010,08:00,3,0
11/30/2010,08:00,4,0
11/30/2010,09:00,1,0
11/30/2010,09:00,2,0
11/30/2010,09:00,3,5.24
11/30/2010,09:00,4,0
11/30/2010,10:00,1,0
11/30/2010,10:00,2,0
11/30/2010,10:00,3,0
11/30/2010,10:00,4,0
11/30/2010,11:00,1,0
11/30/2010,11:00,2,0
11/30/2010,11:00,3,0
11/30/2010,11:00,4,0
11/30/2010,12:00,1,0
11/30/2010,12:00,2,0
11/30/2010,12:00,3,0
11/30/2010,12:00,4,0
11/30/2010,13:00,1,0
11/30/2010,13:00,2,0
11/30/2010,13:00,3,0
11/30/2010,13:00,4,0
11/30/2010,14:00,1,0
11/30/2010,14:00,2,0
11/30/2010,14:00,3,0
11/30/2010,14:00,4,0
11/30/2010,15:00,1,0
11/30/2010,15:00,2,0
11/30/2010,15:00,3,0
11/30/2010,15:00,4,0
11/30/2010,16:00,1,0
11/30/2010,16:00,2,0
11/30/2010,16:00,3,0
11/30/2010,16:00,4,0
11/30/2010,17:00,1,0
11/30/2010,17:00,2,0
11/30/2010,17:00,3,0
11/30/2010,17:00,4,0
11/30/2010,18:00,1,0
11/30/2010,18:00,2,0
11/30/2010,18:00,3,9.53
11/30/2010,18:00,4,54.19
11/30/2010,19:00,1,6.84
11/30/2010,19:00,2,0
11/30/2010,19:00,3,0
11/30/2010,19:00,4,0
11/30/2010,20:00,1,0
11/30/2010,20:00,2,0.44
11/30/2010,20:00,3,0.17
11/30/2010,20:00,4,0
11/30/2010,21:00,1,0
11/30/2010,21:00,2,0
11/30/2010,21:00,3,0
11/30/2010,21:00,4,0
11/30/2010,22:00,1,0
11/30/2010,22:00,2,0
11/30/2010,22:00,3,0
11/30/2010,22:00,4,0
11/30/2010,23:00,1,0
11/30/2010,23:00,2,0
11/30/2010,23:00,3,0
11/30/2010,23:00,4,0
11/30/2010,24:00,1,0
11/30/2010,24:00,2,0
11/30/2010,24:00,3,0
11/30/2010,24:00,4,0
